from,to,relation
LOC013,LOC074,isLocate
LOC021,LOC075,isLocate
LOC023,LOC076,isLocate
LOC023,LOC078,isLocate
ORG001,DOC078,publish
ORG001,DOC079,publish
DOC052,DOC053,cite
OBJ033,CONC018,isLocate
LOC015,LOC079,contain
ORG001,DOC006,publish
DOC078,DOC079,isPublished
OBJ033,CONC018,relevant
ORG001,DOC080,publish
DOC078,CLS024,contain
OBJ034,DOC080,relevant
CLS025,ORG001,isPublished
ORG001,EXP_DEF006,relevant
ORG001,DOC081,publish
ORG046,DOC082,relevant
ORG046,DOC083,relevant
ORG046,DOC084,publish
ORG001,ORG027,belongTo
OBJ035,OBJ036,contain
CLS010,EXP_DEF003,classifyTo
DOC078,CLS026,relevant
CLS027,CLS010,isPublished
ORG001,ORG010,publish
LOC080,CONC019,isLocate
ACT044,CLS028,contain
LOC081,ORG047,belongTo
ORG001,DOC039,publish
ORG001,DOC006,publish
DOC085,EXP_DEF008,relevant
ORG046,DOC086,publish
ORG046,DOC086,publish
ORG046,DOC086,publish
ORG046,DOC086,publish
ORG048,DOC086,publish
ORG001,DOC006,publish
ORG001,ORG012,publish
ORG001,CLS027,publish
OBJ037,CLS027,publish
ORG001,DOC087,publish
DOC052,DOC053,cite
LOC048,LOC049,contain
LOC050,LOC051,contain
LOC052,LOC053,contain
ORG001,OBJ033,relevant
ORG011,ORG049,belongTo
DOC088,DOC089,relevant
DOC089,ACT017,relevant
CLS029,EXP_DEF009,contain
ACT045,DOC090,publish
DOC091,ACT017,isPublished
ORG001,CLS030,publish
ORG036,CLS007,publish
CLS030,CLS007,contain
OBJ038,CLS007,contain
ORG001,DOC006,publish
DOC092,EXP_DEF003,relevant
ORG001,ACT046,relevant
ORG008,ORG012,publish
ORG030,ORG017,publish
DOC093,OBJ018,relevant
OBJ039,DOC094,relevant
DOC095,OBJ039,relevant
OBJ039,OBJ040,prohibition
OBJ041,OBJ042,relevant
DOC096,OBJ018,relevant
OBJ043,OBJ018,contain
DOC097,OBJ044,relevant
ORG001,ORG012,publish
ORG017,DOC098,publish
DOC099,DOC098,relevant
DOC098,CLS031,contain
DOC100,CLS032,relevant
ORG163,ACT176,hasRight
ORG001,ORG050,prohibition
ORG001,ORG051,prohibition
ORG001,ORG052,prohibition
ORG001,DOC101,publish
ORG001,ACT047,publish
DOC101,ACT048,relevant
ORG001,DOC102,publish
CLS033,EXP_DEF010,relevant
CLS034,EXP_DEF011,relevant
CLS035,EXP_DEF012,relevant
CLS036,EXP_DEF013,relevant
CLS037,EXP_DEF014,relevant
OBJ045,EXP_DEF015,relevant
CLS038,EXP_DEF016,relevant
CLS039,EXP_DEF017,relevant
CLS040,EXP_DEF018,relevant
ORG001,ORG010,publish
LOC082,CONC019,classifyTo
LOC082,ACT044,classifyTo
LOC083,LOC084,isLocate
ORG033,ORG025,belongTo
ORG001,CONC020,publish
DOC085,ACT049,relevant
LOC010,OBJ046,prohibition
DOC103,ACT050,relevant
ORG001,CONC021,hasRight
ORG001,ORG005,relevant
ORG005,CONC020,duty
ORG001,CONC022,hasRight
ORG001,CONC021,hasRight
ORG001,ACT051,publish
DOC104,ACT052,relevant
LOC012,DOC105,contain
DOC106,OBJ047,prohibition
ORG001,DOC107,publish
DOC108,DOC109,cite
ORG053,ACT053,hasRight
ORG054,DOC110,publish
ACT054,DOC074,prohibition
ORG001,ACT055,hasRight
ORG007,ACT055,hasRight
ORG055,ACT056,hasRight
DOC111,ACT057,contain
ORG025,ACT058,hasRight
ORG056,ACT059,hasRight
ORG001,DOC112,publish
ORG001,DOC006,publish
ORG017,CONC023,relevant
DOC113,DOC114,cite
DOC115,DOC006,contain
ORG001,DOC006,publish
ORG001,OBJ048,prohibition
ORG046,OBJ048,prohibition
DOC116,OBJ048,relevant
DOC117,OBJ049,relevant
LOC085,OBJ050,isLocate
OBJ051,ACT060,relevant
ORG019,ACT061,hasRight
ORG001,ACT062,publish
ORG057,CLS041,relevant
ORG017,DOC118,publish
DOC119,DOC118,relevant
ORG057,CLS042,relevant
DOC120,DOC121,contain
ORG001,ACT063,hasRight
ORG058,ACT064,hasRight
CLS043,ACT064,hasRight
CLS043,ACT065,hasRight
ORG059,DOC122,publish
DOC123,CLS044,contain
ORG060,CONC024,relevant
LOC012,DOC123,relevant
ORG019,CLS045,relevant
ORG061,OBJ052,hasRight
DOC123,ORG062,isPublished
ORG001,DOC004,publish
ORG001,DOC006,publish
ORG001,OBJ093,classifyTo
ORG001,CLS025,publish
ORG001,STATE012,relevant
ORG059,DOC122,publish
DOC123,ORG060,relevant
LOC012,DOC123,relevant
OBJ053,CONC025,relevant
ORG019,CLS045,publish
LOC012,CONC026,relevant
ORG019,CONC027,publish
DOC123,ORG062,isPublished
ORG001,DOC006,publish
ORG017,DOC125,relevant
LOC009,DOC126,cite
ORG046,DOC006,publish
ORG001,DOC006,publish
ORG012,ORG001,publish
ORG063,ORG025,belongTo
ORG064,CLS046,hasRight
ORG012,ORG009,relevant
ORG064,ORG025,relevant
ORG064,ORG025,relevant
ORG064,DOC127,hasRight
ORG064,OBJ054,hasRight
ORG064,LOC087,hasRight
ORG059,DOC122,publish
ORG060,DOC123,relevant
LOC012,DOC123,relevant
ORG001,DOC128,publish
ORG061,OBJ052,hasRight
LOC251,DOC177,isPublished
ORG001,CONC028,publish
LOC013,LOC088,isLocate
LOC023,LOC089,isLocate
LOC069,LOC090,isLocate
LOC038,LOC091,isLocate
LOC092,LOC093,isLocate
LOC040,LOC094,isLocate
LOC095,LOC096,isLocate
ORG001,DOC129,publish
DOC130,DOC131,cite
DOC132,CLS047,contain
ORG001,CLS002,hasRight
OBJ055,CLS002,contain
ORG001,DOC002,publish
ORG001,CLS048,publish
ORG001,DOC133,publish
ORG001,EXP_DEF019,relevant
CLS048,CLS049,relevant
DOC134,ORG001,isPublished
ORG001,DOC135,publish
ORG001,DOC136,publish
ORG001,ACT066,relevant
ORG001,DOC006,publish
ORG046,DOC146,publish
ORG001,DOC006,publish
ORG001,DOC137,publish
DOC052,DOC053,cite
LOC048,LOC049,contain
LOC050,LOC051,contain
LOC052,LOC053,contain
LOC097,LOC098,contain
LOC017,LOC099,contain
ORG001,OBJ033,relevant
ORG059,DOC138,publish
ORG001,ORG065,belongTo
ORG066,DOC139,publish
ORG001,ORG067,relevant
DOC140,EXP_DEF020,relevant
DOC141,EXP_DEF021,relevant
ORG068,LOC100,isLocate
ORG069,LOC101,isLocate
ORG070,LOC102,isLocate
ORG046,DOC142,publish
ORG001,ORG071,publish
CONC029,OBJ056,relevant
CLS050,CONC030,relevant
OBJ057,CONC031,relevant
OBJ058,CLS051,contain
CONC032,CONC033,contain
CONC034,EXP_DEF022,relevant
ACT067,ORG025,hasRight
ACT068,CLS050,hasRight
ACT069,OBJ059,hasRight
ACT070,CLS050,relevant
ACT071,CLS052,relevant
ACT072,OBJ058,relevant
ACT073,PER003,hasRight
ORG001,LOC103,publish
LOC019,LOC104,contain
LOC021,LOC105,contain
LOC025,LOC106,contain
LOC027,LOC028,contain
LOC063,LOC107,contain
LOC034,LOC108,contain
LOC066,LOC109,contain
LOC036,LOC110,contain
LOC069,LOC111,contain
LOC038,LOC112,contain
ORG001,DOC143,cite
CLS053,EXP_DEF023,relevant
ORG001,DOC006,publish
ORG001,DOC006,publish
DOC052,DOC053,cite
DOC144,DOC145,cite
LOC017,LOC113,contain
LOC019,LOC114,contain
LOC115,LOC116,contain
LOC115,LOC117,contain
LOC118,LOC119,contain
LOC025,LOC120,contain
LOC121,LOC122,contain
LOC123,LOC124,contain
LOC125,LOC126,contain
LOC034,LOC127,contain
LOC040,LOC128,contain
ORG001,DOC006,publish
ACT074,CLS054,relevant
ACT074,OBJ060,contain
ACT074,CLS055,contain
EXP_DEF024,CLS056,relevant
CLS054,STATE003,classifyTo
OBJ061,STATE004,classifyTo
OBJ033,STATE005,classifyTo
OBJ062,STATE006,classifyTo
OBJ063,STATE007,classifyTo
ORG001,CONC035,relevant
ORG072,CONC036,relevant
ORG001,DOC146,publish
DOC147,DOC148,isPublished
CONC037,CONC038,relevant
DOC149,DOC150,isPublished
ORG001,DOC151,publish
ORG001,DOC040,publish
ORG001,OBJ100,publish
ORG001,ORG067,relevant
ORG001,CONC021,hasRight
ORG068,LOC100,isLocate
ORG069,LOC101,isLocate
ORG070,LOC102,isLocate
ORG001,DOC152,publish
DOC052,DOC053,cite
LOC048,LOC049,contain
LOC050,LOC051,contain
LOC052,LOC053,contain
LOC015,LOC129,contain
LOC097,LOC130,contain
LOC021,LOC131,contain
LOC027,LOC132,contain
LOC032,LOC133,contain
ORG001,DOC153,publish
DOC052,DOC053,cite
DOC144,DOC145,isPublished
LOC050,LOC073,contain
LOC013,LOC014,contain
LOC017,LOC018,contain
LOC019,LOC134,contain
LOC021,LOC135,contain
LOC023,LOC024,contain
LOC025,LOC136,contain
ORG001,LOC137,publish
LOC137,ACT077,prohibition
ORG073,OBJ064,relevant
ORG074,ORG073,belongTo
ORG075,LOC140,isLocate
ORG076,LOC140,duty
ORG073,ORG077,relevant
ORG078,OBJ065,contain
ORG075,CONC039,relevant
ORG001,ORG071,publish
CONC029,OBJ056,relevant
CLS050,CONC040,relevant
OBJ057,CONC041,relevant
OBJ058,CLS059,contain
CONC032,CONC033,contain
CONC034,EXP_DEF022,contain
ACT067,ORG025,hasRight
ACT068,CLS050,hasRight
ACT069,OBJ059,hasRight
ACT070,CLS050,relevant
ACT071,CLS060,contain
ACT072,OBJ058,relevant
ACT073,PER003,contain
ORG001,DOC157,publish
ORG017,LOC141,publish
ORG001,DOC158,publish
ORG502,ORG001,belongTo
ORG001,ORG079,relevant
ORG001,ORG080,relevant
ORG001,LOC142,relevant
ORG001,LOC143,relevant
ORG001,ORG072,belongTo
ORG001,ORG018,relevant
ORG019,CLS061,publish
CLS062,CONC042,isPublished
DOC159,ACT078,contain
ORG001,ORG071,publish
ORG001,ORG081,belongTo
OBJ066,CLS063,relevant
CLS002,DOC048,contain
ORG001,DOC006,publish
DOC052,DOC053,cite
ORG001,DOC006,publish
ORG046,DOC039,publish
ORG082,ACT079,hasRight
ORG021,DOC006,publish
ORG021,DOC160,publish
ORG046,DOC039,publish
CONC043,ACT064,duty
ORG046,DOC039,publish
ORG083,DOC161,hasRight
ORG084,DOC162,hasRight
ORG085,ACT080,relevant
ORG001,DOC039,publish
ORG017,EXP_DEF029,publish
DOC100,OBJ195,contain
ORG001,DOC039,publish
ORG001,CONC044,relevant
ORG086,DOC163,hasRight
ORG001,DOC164,publish
ORG087,CONC044,hasRight
ORG072,DOC165,publish
LOC144,DOC166,contain
CLS064,DOC167,hasRight
ORG086,DOC163,hasRight
CONC045,DOC168,contain
CONC046,CONC047,relevant
ORG088,ACT081,relevant
ORG089,DOC169,relevant
DOC170,DOC171,relevant
ORG059,DOC039,publish
ORG059,DOC039,publish
ORG652,ACT714,hasRight
ORG174,CONC382,relevant
ORG059,ACT082,publish
ORG090,DOC172,publish
ORG091,ACT082,publish
ORG092,ACT082,duty
ORG092,CLS065,contain
DOC173,CLS066,contain
DOC173,ACT083,relevant
DOC173,ACT084,relevant
DOC173,OBJ067,relevant
ORG093,ACT085,duty
ORG094,ACT086,hasRight
ORG001,ORG095,relevant
LOC145,ACT087,contain
ORG095,LOC146,isLocate
ORG001,LOC147,isLocate
ORG001,DOC006,publish
ORG001,DOC422,hasRight
ORG001,OBJ100,classifyTo
ORG001,CONC021,hasRight
ORG245,LOC243,isLocate
ORG001,LOC148,publish
ORG001,DOC174,publish
LOC149,LOC137,isLocate
LOC150,LOC137,isLocate
LOC151,LOC137,isLocate
DOC059,DOC175,cite
DOC176,DOC177,cite
ORG096,ORG097,hasRight
ORG098,CONC048,duty
OBJ068,OBJ033,relevant
ORG001,ORG099,hasRight
ORG099,CONC018,hasRight
DOC178,DOC179,isPublished
ORG001,CONC049,publish
ORG001,CONC050,publish
ORG001,CONC051,contain
ORG001,CLS067,relevant
ORG001,ACT088,relevant
ORG001,CONC050,publish
ORG001,ACT089,publish
ORG001,ACT090,relevant
ORG001,OBJ069,contain
ORG001,ORG081,belongTo
OBJ070,CLS002,contain
ORG001,DOC002,publish
ORG001,CLS002,publish
ORG081,CLS002,publish
OBJ071,CLS002,relevant
CLS002,DOC002,contain
ORG100,ORG001,publish
ORG001,ORG101,relevant
ORG102,ORG103,isLocate
ORG104,ORG105,relevant
ORG106,ORG107,workFor
ORG102,ORG105,duty
ORG108,ORG105,hasRight
ORG109,ORG105,duty
ORG105,LOC152,relevant
LOC152,ORG001,relevant
ORG001,ORG101,relevant
ORG001,ACT002,relevant
ORG001,DOC006,publish
ACT002,OBJ014,contain
ORG001,STATE012,relevant
ORG001,ORG095,relevant
ORG095,DOC180,publish
ORG095,LOC146,isLocate
ORG001,LOC147,isLocate
ORG001,DOC143,cite
ORG001,CLS053,hasRight
ORG001,OBJ014,publish
ORG001,DOC181,publish
ORG001,CLS068,publish
DOC181,ACT091,relevant
ORG001,DOC039,publish
ORG046,DOC182,publish
LOC153,OBJ040,isLocate
LOC153,CONC030,relevant
ORG110,ORG111,belongTo
DOC183,STATE008,relevant
DOC184,OBJ072,relevant
ORG112,STATE009,duty
ORG113,DOC185,hasRight
LOC153,ORG114,contain
ORG001,DOC186,publish
ORG001,DOC187,publish
ORG017,DOC188,publish
ORG001,ORG115,belongTo
ORG001,CONC049,relevant
ORG001,OBJ073,isLocate
ORG001,DOC189,contain
ORG001,CLS067,relevant
ORG001,ACT089,relevant
ORG001,ORG116,belongTo
ORG001,CONC050,relevant
ORG001,DOC053,publish
ORG096,CONC048,hasRight
ORG096,CONC018,relevant
ORG099,CONC018,relevant
ORG096,CONC018,publish
ORG001,DOC190,publish
ORG117,ACT092,duty
ORG118,ACT093,duty
ORG119,ACT094,duty
ORG119,DOC191,cite
ORG119,DOC192,cite
ORG001,DOC193,publish
ORG105,ORG001,belongTo
ORG105,CONC052,relevant
ORG101,PER005,workFor
ORG102,ORG103,isLocate
ORG104,ORG120,belongTo
ORG105,ORG102,relevant
ORG106,ORG107,hasRight
ORG102,ORG105,duty
ORG121,ORG105,duty
ORG109,ORG105,duty
ORG105,LOC152,isLocate
ORG122,ORG001,hasRight
ORG102,ORG001,belongTo
ORG105,ACT095,relevant
ORG001,ORG106,publish
ORG123,LOC055,relevant
ORG124,ORG125,belongTo
ORG126,CONC053,relevant
ORG001,DOC006,publish
ORG018,DOC039,publish
ORG046,DOC194,publish
ORG046,DOC195,publish
ORG083,DOC161,hasRight
ORG083,OBJ074,hasRight
ORG127,DOC196,publish
ORG083,OBJ075,contain
ORG083,OBJ076,prohibition
ORG001,DOC006,publish
ORG001,DOC162,prohibition
ORG046,STATE012,relevant
ORG046,CLS025,contain
ORG046,ORG046,belongTo
ORG046,LOC154,belongTo
LOC154,CONC054,relevant
LOC154,LOC155,classifyTo
LOC154,LOC154,classifyTo
LOC156,ACT096,isLocate
LOC154,ACT097,hasRight
LOC154,LOC154,contain
LOC154,LOC008,relevant
LOC154,LOC155,relevant
LOC154,LOC157,contain
LOC009,OBJ046,prohibition
ORG046,ACT098,hasRight
LOC009,OBJ046,prohibition
OBJ046,CONC055,duty
OBJ046,LOC008,prohibition
CLS069,ACT079,duty
DOC197,OBJ046,relevant
OBJ046,LOC008,relevant
OBJ046,CONC056,relevant
ORG128,ACT099,hasRight
ORG046,ACT100,hasRight
ORG046,ACT100,hasRight
OBJ046,LOC008,relevant
ORG046,ACT101,hasRight
ACT100,STATE010,relevant
LOC009,OBJ046,prohibition
OBJ046,LOC008,prohibition
DOC197,ORG046,isPublished
ORG046,CLS007,publish
ORG129,OBJ077,publish
OBJ078,CLS007,publish
ORG046,DOC006,publish
ORG046,DOC052,publish
LOC013,LOC014,isLocate
LOC017,LOC018,isLocate
LOC021,LOC135,isLocate
LOC023,LOC024,isLocate
LOC025,LOC136,isLocate
LOC027,LOC158,isLocate
LOC032,LOC159,isLocate
LOC063,LOC160,isLocate
ORG046,DOC052,publish
LOC019,LOC161,isLocate
LOC021,LOC022,isLocate
LOC023,LOC162,isLocate
LOC066,LOC163,isLocate
LOC036,LOC164,isLocate
ORG130,CONC057,publish
CONC057,CLS070,contain
CONC057,LOC165,isLocate
CONC057,CLS071,relevant
CONC057,ACT102,relevant
CONC057,DOC198,relevant
CONC057,DOC199,relevant
CONC057,ACT103,relevant
CONC057,CLS072,contain
CONC057,OBJ079,relevant
CONC057,EXP_DEF026,relevant
CONC057,STATE011,relevant
CONC057,ACT104,relevant
CONC057,ACT105,relevant
CONC057,ORG131,relevant
CONC057,CLS073,relevant
CONC057,CLS074,relevant
CONC057,ORG132,relevant
ORG099,DOC471,hasRight
ORG046,EXP_DEF027,publish
ORG046,STATE012,relevant
ORG046,EXP_DEF028,relevant
ORG046,EXP_DEF028,relevant
LOC032,LOC176,isLocate
ORG046,ACT106,publish
LOC177,CONC058,isLocate
DOC200,ACT107,cite
ACT108,ACT109,relevant
OBJ080,ACT110,contain
ORG046,LOC178,belongTo
CONC059,ACT111,duty
DOC201,ACT112,relevant
OBJ081,DOC202,contain
OBJ081,ACT113,relevant
CONC060,ORG133,relevant
ORG017,DOC203,publish
ORG133,CONC060,relevant
CONC060,CLS075,contain
CONC060,CLS076,contain
CONC060,ACT114,relevant
CONC060,ACT115,relevant
CONC060,ACT116,relevant
CONC060,CLS077,contain
LOC179,CONC061,relevant
ORG046,LOC179,hasRight
LOC179,LOC180,isLocate
ORG099,LOC179,hasRight
ORG046,ORG134,hasRight
LOC179,CLS078,contain
LOC179,OBJ082,contain
LOC179,CONC061,relevant
LOC179,ORG046,hasRight
LOC179,LOC181,isLocate
ORG046,CLS079,hasRight
ORG135,CLS080,hasRight
ORG048,ORG136,relevant
PER006,ORG137,workFor
PER007,ORG138,workFor
PER008,ORG137,workFor
PER009,ORG137,workFor
PER010,ORG139,workFor
PER011,ORG140,workFor
PER012,ORG140,workFor
PER013,ORG141,workFor
PER014,ORG141,workFor
PER015,ORG142,workFor
PER016,ORG143,workFor
PER017,ORG144,workFor
ORG145,CLS081,isPublished
PER018,CLS082,isPublished
ORG146,ORG046,relevant
LOC048,ORG145,isLocate
ORG147,LOC050,isLocate
ORG148,LOC052,isLocate
ORG149,LOC015,isLocate
ORG150,LOC097,isLocate
ORG151,LOC019,isLocate
ORG152,PER018,workFor
ORG147,PER019,workFor
ORG153,PER020,workFor
ORG154,PER021,workFor
ORG155,PER022,workFor
ORG156,PER023,workFor
DOC024,DOC177,publish
ORG046,ORG157,relevant
ORG158,ORG159,relevant
ORG016,ORG160,relevant
ORG016,ORG004,relevant
ORG016,CONC062,workFor
ORG046,CLS083,relevant
ORG158,CLS083,relevant
ORG016,OBJ083,relevant
ORG016,CLS007,contain
ORG046,DOC258,cite
ORG046,ORG114,belongTo
ORG046,ACT692,hasRight
ORG046,DOC205,publish
ORG046,DOC013,publish
ORG046,LOC206,isLocate
ORG046,DOC206,publish
ORG046,DOC207,publish
ORG046,OBJ014,publish
ORG161,DOC207,publish
ORG161,DOC208,prohibition
ORG046,DOC209,relevant
ORG046,DOC210,publish
ORG046,DOC211,relevant
ORG046,DOC052,publish
LOC013,LOC182,isLocate
LOC017,LOC018,contain
LOC019,LOC114,contain
LOC021,LOC135,contain
LOC023,LOC162,contain
LOC025,LOC136,contain
LOC027,LOC158,contain
LOC032,LOC159,contain
LOC063,LOC160,contain
LOC034,LOC127,contain
LOC066,LOC163,contain
LOC036,LOC183,contain
LOC069,LOC184,contain
LOC038,LOC185,contain
LOC040,LOC072,contain
LOC046,LOC186,contain
ORG046,ORG109,belongTo
ORG162,DOC212,publish
ORG018,DOC213,publish
CONC063,ACT119,contain
PER024,ORG163,relevant
OBJ040,ORG164,isLocate
ORG165,CLS084,contain
PER025,ORG166,hasRight
ORG167,ACT120,relevant
PER026,PER027,relevant
ACT121,OBJ084,contain
DOC214,ORG168,contain
ORG163,ORG169,relevant
CONC064,ACT122,contain
DOC215,CONC065,hasRight
ORG167,OBJ085,hasRight
ORG170,ORG168,relevant
ORG171,DOC216,hasRight
LOC187,DOC217,relevant
LOC188,DOC217,relevant
DOC217,CONC066,relevant
DOC047,DOC120,relevant
LOC008,CONC067,relevant
DOC217,OBJ086,relevant
ORG172,ACT123,relevant
ACT124,ACT125,relevant
ORG046,OBJ087,duty
ORG173,CONC068,relevant
ORG173,DOC218,hasRight
ORG173,LOC189,duty
ORG173,ACT126,hasRight
ORG173,ACT127,hasRight
OBJ088,OBJ087,contain
ORG174,ACT128,prohibition
ORG173,ORG175,belongTo
DOC219,DOC220,publish
ORG046,DOC221,publish
CLS049,ACT129,relevant
CLS085,ACT130,relevant
OBJ089,ACT131,relevant
OBJ090,ACT132,relevant
OBJ091,ACT133,relevant
CONC069,CONC070,relevant
CONC071,ACT134,relevant
DOC116,CLS086,contain
ORG046,DOC222,publish
ORG046,DOC223,cite
